Date,Site,African Wild Cat,Baboon,Caracal,Cattle,Dog,Eland,Jackal,Klipspringer,Kudu,Mongoose,Oryx,Porcupine,Scrub Hare,Steenbok
30/04/2017,NPR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/05/2017,NPR1,0,1,0,1,0,0,1,1,1,0,0,0,0,0
30/06/2017,NPR1,0,1,0,1,0,1,1,1,0,0,0,0,0,0
31/07/2017,NPR1,0,1,0,0,0,1,1,1,0,0,0,1,0,0
31/08/2017,NPR1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
30/09/2017,NPR1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
31/10/2017,NPR1,1,1,0,0,0,0,1,1,0,0,0,0,0,1
30/11/2017,NPR1,0,1,0,0,0,0,1,1,1,0,0,0,0,0
31/12/2017,NPR1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
30/01/2018,NPR1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
28/02/2018,NPR1,0,1,0,1,0,1,1,0,1,0,0,0,0,0
31/03/2018,NPR1,0,1,0,0,0,1,1,1,1,0,0,0,0,0
30/04/2018,NPR1,0,1,0,0,0,1,1,0,0,0,0,0,0,1
31/05/2018,NPR1,0,1,0,0,0,1,1,0,1,0,0,0,0,0
20/06/2018,NPR1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
30/04/2017,NPR2,0,0,1,1,0,0,0,0,0,0,0,0,0,1
31/05/2017,NPR2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
30/06/2017,NPR2,0,1,0,1,0,0,0,0,0,1,0,0,0,1
31/07/2017,NPR2,0,1,1,1,0,0,1,0,0,0,0,0,0,1
31/08/2017,NPR2,0,1,0,1,0,0,0,0,0,0,0,0,0,1
30/09/2017,NPR2,0,1,0,0,0,0,1,1,0,0,0,0,0,1
31/10/2017,NPR2,0,1,0,0,0,0,1,0,1,0,0,0,1,1
30/11/2017,NPR2,0,1,0,0,0,0,0,0,0,0,0,0,0,1
31/12/2017,NPR2,0,1,0,1,0,0,1,0,0,0,0,0,0,1
30/01/2018,NPR2,0,1,0,1,0,0,0,0,1,0,0,0,0,1
28/02/2018,NPR2,0,1,0,1,0,0,1,0,1,0,0,0,0,1
31/03/2018,NPR2,0,1,0,0,0,1,1,0,1,0,0,0,0,1
30/04/2018,NPR2,1,1,0,0,0,0,0,0,0,0,1,0,0,1
31/05/2018,NPR2,0,1,0,0,0,0,0,0,1,0,1,0,0,1
20/06/2018,NPR2,0,1,0,0,0,0,1,0,1,0,1,0,0,1
30/04/2017,NPR3,1,0,0,0,0,0,0,0,0,0,0,0,0,1
31/05/2017,NPR3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
30/06/2017,NPR3,1,1,0,0,0,0,1,0,0,0,0,0,0,1
31/07/2017,NPR3,0,1,1,1,0,0,0,0,0,0,0,0,0,0
31/08/2017,NPR3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30/09/2017,NPR3,0,1,0,0,0,0,0,0,0,0,0,0,0,1
31/10/2017,NPR3,0,0,0,0,1,1,0,0,0,0,0,0,0,1
30/11/2017,NPR3,0,1,0,0,0,0,0,0,1,0,0,0,0,1
31/12/2017,NPR3,0,1,0,1,0,0,0,0,1,0,0,0,0,1
30/01/2018,NPR3,0,1,0,1,0,0,1,0,1,0,0,0,0,1
28/02/2018,NPR3,0,1,0,1,0,0,1,0,1,0,0,0,0,1
31/03/2018,NPR3,0,1,1,0,0,0,1,0,1,0,0,0,0,1
30/04/2018,NPR3,0,1,0,0,0,0,0,0,1,0,0,0,0,1
31/05/2018,NPR3,0,1,0,0,0,0,0,0,1,0,1,0,0,1
20/06/2018,NPR3,0,0,0,0,0,0,1,0,0,0,1,0,0,1
